기관명,주소,위도,경도,카테고리_대,카테고리_소
혜화치과의원,서울특별시 금천구 남부순환로 1432 (독산동),37.4806022,126.9097227,병원,치과의원
혜화편한의원,"서울특별시 종로구 창경궁로34길 26, 정화빌딩 (명륜2가)",37.58390935,127.0010734,병원,한의원
혜화한의원,서울특별시 양천구 목동로25길 2 (신정동),37.52796651,126.8635449,병원,한의원
혜화한의원,"서울특별시 서대문구 신촌로 61, 7층 (창천동)",37.55667793,126.93347,병원,한의원
호21C치과의원,서울특별시 노원구 동일로 1308 2층  (중계동),37.64597515,127.0641664,병원,치과의원
호감한의원,"서울특별시 마포구 백범로 95, 다나빌딩 2층 (대흥동)",37.54795417,126.94231,병원,한의원
호강한의원,서울특별시 관악구 조원로 132 (신림동),37.48525443,126.9169226,병원,한의원
호강한의원,"서울특별시 강서구 강서로 360, 302호 (내발산동, 솔레드림빌딩)",37.55769295,126.8383927,병원,한의원
호경정형외과의원,서울특별시 동대문구 천호대로 291 (답십리동),37.56672845,127.0534259,병원,의원
호기내과의원,서울특별시 중구 명동길 56 3층 (명동2가),37.56377311,126.985433,병원,의원
호기영치과의원,서울특별시 중랑구 면목로 478-1 (상봉동),37.59458879,127.0861914,병원,치과의원
호내과의원,"서울특별시 관악구 관악로 217, 5층 (봉천동, 동진빌딩)",37.48437871,126.9546774,병원,의원
호담재한의원,"서울특별시 강북구 도봉로 247-1, 3층 (미아동)",37.63060841,127.02418,병원,한의원
호담치과의원,"서울특별시 구로구 구로동로26길 36, 2층 201호 (구로동)",37.49004435,126.8860037,병원,치과의원
호담한의원,"서울특별시 은평구 진관2로 12, 204호 (진관동, 메이플카운터2차)",37.63426241,126.9185561,병원,한의원
호두치과의원,서울특별시 강서구 가로공원로 187 (화곡동),37.53735627,126.8366981,병원,치과의원
현대중앙의원,"서울특별시 강서구 양천로 128, 2층 201호 (방화동, 한림리첸빌)",37.57313569,126.818164,병원,의원
호랑이신경외과의원,"서울특별시 성북구 종암로 129, 3층 302호 (종암동)",37.60158645,127.0326112,병원,의원
호랑이안과의원,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 3층 301~308,312~317호 (목동)",37.52477753,126.8758207,병원,의원
힘튼의원,"서울특별시 은평구 은평로 170, 305호 (응암동, 상현빌딩)",37.60108939,126.9266624,병원,의원
호랑이이비인후과의원,"서울특별시 중구 동호로 171, 2층 202호 (신당동)",37.55343003,127.0112152,병원,의원
호림치과의원,서울특별시 성동구 금호로 151 (금호동2가),37.55430696,127.0201215,병원,치과의원
호명한의원,"서울특별시 서초구 반포대로 93, 해은빌딩 4층 (서초동)",37.48847468,127.0087348,병원,한의원
호산나치과의원,"서울특별시 동작구 상도로 242, 4층 (상도동)",37.50485684,126.9454136,병원,치과의원
호산여성병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",37.52856772,127.0333541,병원,병원
호산여성의원,"서울특별시 강남구 언주로 871, 호산병원,3층일부 A동 101호 (신사동)",37.52854924,127.0333628,병원,의원
호산의원,"서울특별시 구로구 구로동로 215-1, 2층 (구로동)",37.49783638,126.8822799,병원,의원
호산의원,"서울특별시 강남구 언주로 871, 호산병원, 지하1층 일부, 4층 A동 (신사동)",37.52856772,127.0333541,병원,의원
호산치과의원,"서울특별시 중랑구 사가정로 399, 3층 (면목동, 동부빌딩)",37.58077271,127.0892106,병원,치과의원
호수내과의원,"서울특별시 송파구 송파대로 438, 녹십초빌딩 2,3층 (송파동)",37.50582485,127.1071466,병원,의원
호수빈한의원,"서울특별시 노원구 동일로 1665, 301호 (상계동, 대은빌딩)",37.67714284,127.0549831,병원,한의원
호수의원,"서울특별시 용산구 독서당로 85, 3층 (한남동)",37.5346736,127.0097868,병원,의원
호수한의원,"서울특별시 금천구 금하로 763 (시흥동, 벽산아파트 중심상가 309~310)",37.45036921,126.9145744,병원,한의원
호안의원,"서울특별시 용산구 독서당로 78, 고은빌딩 2~4층 (한남동)",37.53397311,127.0093426,병원,의원
호움산부인과의원,"서울특별시 서초구 서초중앙로 110, 2층 (서초동, 서초동롯데캐슬메디치)",37.49148347,127.0146208,병원,의원
호정한의원,서울특별시 관악구 신원로 23 (신림동),37.4815935,126.9280727,병원,한의원
호치과의원,"서울특별시 중랑구 겸재로 180, 3층 (면목동)",37.58820081,127.0879513,병원,치과의원
호현치과의원,"서울특별시 중구 다산로 222, 2층 (신당동)",37.56285252,127.0155914,병원,치과의원
호호안과의원,"서울특별시 동작구 보라매로 113, 2층 201,202호 (대방동, 코스모빌딩)",37.49946103,126.9278493,병원,의원
호호치과의원,"서울특별시 구로구 오리로 1149, 랑데르 301호 (오류동)",37.48660236,126.8382475,병원,치과의원
홀가분한의원,"서울특별시 중랑구 면목로33길 38, 2층 (면목동)",37.57668758,127.0836999,병원,한의원
홀드의원,"서울특별시 강남구 테헤란로2길 21, 2층 (역삼동)",37.49678314,127.029402,병원,의원
홀인원비뇨기과의원,서울특별시 금천구 가산디지털1로 168  (가산동),37.48067409,126.8819196,병원,의원
홀인원의원,"서울특별시 금천구 벚꽃로 298, 217호 (가산동, 대륭포스트타워6차)",37.48158412,126.8842105,병원,의원
홀치과의원,"서울특별시 강서구 화곡로 296, 304,305호 (화곡동)",37.55057656,126.8490428,병원,치과의원
홈스피탈내과의원,"서울특별시 용산구 한남대로 76, 한남프라자 5층 (한남동)",37.53556149,127.0065494,병원,의원
홈플란트치과의원,"서울특별시 서초구 서초대로54길 24, 5층 (서초동)",37.49313196,127.0159503,병원,치과의원
홍가정의학과의원,"서울특별시 은평구 갈현로 81 (역촌동, 그린빌딩)",37.60529374,126.9103239,병원,의원
홍기상차일드앤틴치과의원,"서울특별시 강남구 선릉로132길 69, 3층 (청담동, 이경빌딩)",37.51909826,127.0469138,병원,치과의원
홍대고운세상피부과의원,"서울특별시 마포구 월드컵로1길 14, 딜라이트스퀘어 A동 2층 202, 203호 (합정동, 마포 한강 푸르지오)",37.55008475,126.9125402,병원,의원
홍대닥터쁘띠의원,"서울특별시 마포구 양화로 151, 8층 (동교동)",37.55629276,126.9224046,병원,의원
홍대디온의원,"서울특별시 마포구 양화로 156, LG팰리스빌딩 501~503호 (동교동)",37.55611306,126.9234466,병원,의원
홍대라인업의원,"서울특별시 마포구 양화로 178, 6층 (동교동)",37.55750461,126.9252132,병원,의원
홍대미래치과의원,"서울특별시 마포구 양화로 166, 3층 (동교동, 미래프라자)",37.5567435,126.9241665,병원,치과의원
홍대성모정신건강의학과의원,"서울특별시 마포구 양화로 166, 미래프라자 12(일부)층 (동교동)",37.5567435,126.9241665,병원,의원
(의)미래의료재단리드림의원,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",37.50800316,127.0588872,병원,의원
홍대아이디의원,"서울특별시 마포구 양화로 140, 10층 (동교동)",37.55510173,126.922124,병원,의원
홍대입구닥터쁘띠의원,"서울특별시 마포구 양화로 162, 9층 (동교동)",37.55641356,126.9238812,병원,의원
홍대입구리더스정형외과의원,"서울특별시 마포구 양화로18길 3, 삼양세븐스프링스 2층 (동교동)",37.55703127,126.9245703,병원,의원
홍돈호비뇨기과의원,"서울특별시 송파구 석촌호수로 70 (잠실동, 동성B/D 3층)",37.51006293,127.0857108,병원,의원
홍범한의원,"서울특별시 금천구 금하로 631-6, 2층 (시흥동)",37.4551524,126.9014583,병원,한의원
홍비뇨기과의원,서울특별시 은평구 통일로 863 (갈현동),37.62002997,126.9199954,병원,의원
홍사민연세안과의원,"서울특별시 강서구 강서로 242, 3층 319,320,321호 (화곡동, 강서힐스테이트)",37.5471645,126.836797,병원,의원
홍석호내과의원,"서울특별시 은평구 통일로 730, 3층 301호 (불광동, 보광빌딩)",37.61081423,126.9300911,병원,의원
홍선생치과교정과치과의원,"서울특별시 은평구 통일로 869, 서연빌딩 2층 (갈현동)",37.62036915,126.919809,병원,치과의원
홍설유내과의원,서울특별시 강북구 오현로32길 4-3 (번동),37.6284326,127.0398506,병원,의원
홍성철성형외과의원,"서울특별시 강남구 논현로171길 15, 305,306호 (신사동)",37.52548743,127.0271426,병원,의원
홍성철치과의원,"서울특별시 관악구 보라매로 12, 3층 (봉천동)",37.49049868,126.9277855,병원,치과의원
홍성환산부인과의원,"서울특별시 노원구 화랑로 455, 1층 (공릉동)",37.61868712,127.0777409,병원,의원
홍소아청소년과의원,서울특별시 동작구 동작대로29길 69 (사당동),37.48845208,126.9781073,병원,의원
홍수진어린이치과의원,"서울특별시 강남구 논현로 841, 제이비 미소 빌딩 405호 (신사동)",37.52396847,127.0277588,병원,치과의원
홍순호치과의원,서울특별시 강남구 강남대로 606  (논현동),37.51586783,127.0201564,병원,치과의원
홍승업성형외과의원,서울특별시 강남구 압구정로 152 7층 705호 (신사동),37.52556489,127.0260489,병원,의원
홍승현성형외과의원,"서울특별시 마포구 신촌로 180, 3층 (대흥동)",37.5565093,126.9454858,병원,의원
홍안과의원,서울특별시 동대문구 전농로 134 (전농동),37.57685104,127.0579964,병원,의원
홍앤유의원,"서울특별시 관악구 남부순환로 1820, 7층 (봉천동, 에그엘로우)",37.480948,126.9520838,병원,의원
홍영란치과의원,서울특별시 도봉구 마들로11가길 15 (창동),37.65265689,127.0492579,병원,치과의원
홍요한내과의원,"서울특별시 성북구 돌곶이로 152, 1층 (장위동)",37.61531902,127.0520648,병원,의원
홍우바른이치과의원,"서울특별시 영등포구 국제금융로 78 (여의도동, 홍우빌딩 403호 )",37.52087248,126.9312982,병원,치과의원
홍원택가정의학과의원,"서울특별시 중랑구 면목로 457, 2층 (상봉동)",37.59281744,127.0861872,병원,의원
홍은그린한의원,"서울특별시 서대문구 연희로37길 3, 유성빌딩 3층 (홍은동)",37.58203732,126.9358622,병원,한의원
홍은연세림(林)치과의원,"서울특별시 서대문구 홍은중앙로 100, 2층 (홍은동)",37.59917798,126.9483553,병원,치과의원
홍의실한의원,"서울특별시 송파구 송이로31길 6 (문정동, 2층1호)",37.48841389,127.1319959,병원,한의원
홍이경산부인과의원,"서울특별시 관악구 신림로 344, 305호 (신림동)",37.48515017,126.9299772,병원,의원
홍이내과의원,"서울특별시 중랑구 겸재로 237, 3층 (망우동)",37.59004566,127.0939462,병원,의원
홍이비인후과의원,"서울특별시 강서구 양천로57길 16, 402호 (가양동, 영보빌딩)",37.56337527,126.8525045,병원,의원
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.52844147,126.863664,병원,종합병원
홍익안과의원,"서울특별시 은평구 은평로 178, 3층 (응암동)",37.60124551,126.9275019,병원,의원
홍익치과의원,"서울특별시 노원구 석계로 104, 2층 201호 (월계동, 그린빌딩)",37.62318231,127.0607255,병원,치과의원
홍익치과의원,서울특별시 구로구 신도림로 16,37.50512282,126.882191,병원,치과의원
홍익한사랑의원,"서울특별시 마포구 독막로 63, 2층 (상수동)",37.54799414,126.9205318,병원,의원
홍익한의원,"서울특별시 송파구 가락로 209, 3층 (송파동)",37.50720028,127.1161497,병원,한의원
홍익한의원,"서울특별시 중구 퇴계로 447, 313호 (황학동, 황학아크로타워상가)",37.56604027,127.0217233,병원,한의원
홍익한의원,"서울특별시 동작구 사당로14길 13, 3층 (사당동)",37.48340621,126.971969,병원,한의원
홍익한의원,"서울특별시 강북구 숭인로 67-1 (미아동, 홍익한의원)",37.61258751,127.0292573,병원,한의원
홍익한의원,"서울특별시 노원구 한글비석로 396, 108동 232호 (상계동, 벽산아파트)",37.66127667,127.0733611,병원,한의원
홍익한의원,서울특별시 강서구 가로공원로76길 55 (화곡동),37.53465225,126.8381166,병원,한의원
홍익한의원,"서울특별시 마포구 연남로 1, 지하1,지상2층 (동교동)",37.5600493,126.9235218,병원,한의원
홍인한의원,"서울특별시 노원구 동일로 1551, 2층 201호 (상계동)",37.6668888,127.0568435,병원,한의원
홍재한의원,"서울특별시 영등포구 도신로 226, 1층 (신길동)",37.51171106,126.9162056,병원,한의원
홍정신건강의학과의원,서울특별시 강남구 학동로 411  (청담동),37.51809729,127.0447131,병원,의원
홍정욱치과의원,"서울특별시 강남구 논현로 841, 제이비 미소 빌딩 305호 (신사동)",37.52396847,127.0277588,병원,치과의원
홍제365치과의원,"서울특별시 서대문구 통일로 463, 2층 (홍제동)",37.58962442,126.9427345,병원,치과의원
홍제경희한의원,"서울특별시 서대문구 통일로 484, 유진상가, 유진아파트,공유캠퍼스 1층 (홍제동)",37.59163153,126.9430423,병원,한의원
홍제다나한의원,"서울특별시 서대문구 통일로 413, 6층 (홍제동, 화인빌딩)",37.58617995,126.9464379,병원,한의원
홍제동서한의원,"서울특별시 서대문구 통일로 452, 2층 (홍제동)",37.58915212,126.94404,병원,한의원
홍제바른안과의원,"서울특별시 서대문구 통일로 413, 연세24시사우나 3층 301호 (홍제동)",37.58618176,126.9464387,병원,의원
홍제삼성본정형외과의원,"서울특별시 서대문구 통일로 423, 1,2,3층 (홍제동)",37.58690519,126.9459035,병원,의원
홍제속편한내과의원,"서울특별시 서대문구 통일로 413, 연세24시사우나 201호 (홍제동)",37.58618176,126.9464387,병원,의원
홍제연세치과의원,"서울특별시 서대문구 통일로 433, 5층 (홍제동, 조이빌딩)",37.58759173,126.9450871,병원,치과의원
홍제오늘튼튼의원,"서울특별시 서대문구 통일로 442, 메디칼타워 J 2~3층 (홍제동)",37.58851472,126.9449255,병원,의원
홍제온한의원,"서울특별시 서대문구 통일로 437, 1동 지층,1층 (홍제동)",37.58789147,126.9448458,병원,한의원
홍제우리내과의원,"서울특별시 서대문구 통일로35길 14-4, 2층 201호 (홍제동)",37.58654918,126.9458498,병원,의원
홍제으뜸경희한의원,"서울특별시 서대문구 세무서길 11, 서대문세무서 1층 2호 (홍제동)",37.5886876,126.9452567,병원,한의원
홍제정신건강의학과의원,"서울특별시 서대문구 통일로 448, 10층 (홍제동)",37.58886706,126.9444546,병원,의원
홍제치과의원,서울특별시 서대문구 통일로 436 (홍제동),37.58812934,126.9456426,병원,치과의원
홍제탑정형외과의원,"서울특별시 서대문구 세무서길 8, 조이빌딩1별관 4,5,6층 (홍제동)",37.58829128,126.945509,병원,의원
홍제탑치과의원,"서울특별시 서대문구 통일로 448, 9층 (홍제동)",37.58886706,126.9444546,병원,치과의원
홍제한의원,"서울특별시 서대문구 통일로 436, 2층 (홍제동)",37.58803561,126.9455176,병원,한의원
홍제한의원,"서울특별시 영등포구 대림로 153, 이충호산부인과 2층 (대림동)",37.49438817,126.8998011,병원,한의원
홍제한의원,"서울특별시 강동구 구천면로 192, 2층 (천호동, 천호역 한강 푸르지오시티)",37.54035806,127.1258189,병원,한의원
홍종서내과의원,"서울특별시 강북구 도봉로 358-0, 2층 (번동, 코스타타워)",37.63913588,127.027475,병원,의원
홍종찬이비인후과의원,"서울특별시 중랑구 용마산로 502, 3층 (망우동)",37.59575989,127.1004399,병원,의원
홍지희내과의원,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데마트 잠실점 5층)",37.51130961,127.0981418,병원,의원
홍진호피부과의원,서울특별시 강서구 방화동로 37 (방화동),37.56418228,126.8106821,병원,의원
홍치과의원,"서울특별시 서대문구 거북골로 174-1, 2층 (북가좌동)",37.57698469,126.9110645,병원,치과의원
홍치과의원,"서울특별시 노원구 노원로 449, 명주빌딩 4층 (상계동)",37.65666945,127.0664416,병원,치과의원
홍치과의원,서울특별시 용산구 한남대로20길 61-7 (한남동),37.53516864,127.010478,병원,치과의원
홍치과의원,"서울특별시 성북구 정릉로 378, 돈암동 클리닉센터 1층 (돈암동)",37.60221197,127.0254283,병원,치과의원
홍택원내과의원,"서울특별시 성동구 고산자로6길 40, 2층 (행당동, 레몬프라자)",37.5582207,127.0354825,병원,의원
홍피부과의원,서울특별시 강동구 구천면로 269-1 (천호동),37.54430374,127.1323113,병원,의원
홍피부과의원,"서울특별시 송파구 석촌호수로 118, 잠실청호빌딩 4~5층 (잠실동)",37.50743779,127.0900348,병원,의원
홍피부과의원,"서울특별시 서대문구 수색로 38, 4층 (남가좌동)",37.56980836,126.9144804,병원,의원
홍한의원,"서울특별시 도봉구 도봉로113길 7, 1층 (쌍문동)",37.6478588,127.033725,병원,한의원
홍한의원,서울특별시 노원구 상계로1길 24 (상계동),37.65728286,127.0617027,병원,한의원
홍현식치과의원,서울특별시 강동구 구천면로 287 (천호동),37.54561106,127.1333012,병원,치과의원
화가한의원,"서울특별시 강동구 양재대로 1570, 미래빌딩 2층 (명일동)",37.54566492,127.1432406,병원,한의원
화곡경희한의원,"서울특별시 강서구 곰달래로53길 26, 2층 (화곡동)",37.53302553,126.8596211,병원,한의원
화곡고려튼튼의원,"서울특별시 강서구 화곡로 161, 대성빌딩 2층 (화곡동)",37.54162432,126.8395357,병원,의원
화곡굿모닝의원,"서울특별시 강서구 등촌로5길 80, 2층 (화곡동)",37.53307069,126.8589518,병원,의원
화곡리본한의원,"서울특별시 강서구 화곡로 146, 2층 201호 (화곡동, 포르투나 블루)",37.54069088,126.8379464,병원,한의원
화곡봄한의원,"서울특별시 강서구 강서로13길 3, 동진빌딩 (화곡동)",37.53229503,126.8460504,병원,한의원
화곡부부한의원,서울특별시 강서구 곰달래로59길 25 (화곡동),37.5335662,126.8627473,병원,한의원
화곡사랑치과의원,"서울특별시 강서구 까치산로 73, 2층 (화곡동, 금천빌딩)",37.54524483,126.8469518,병원,치과의원
화곡숨한의원,"서울특별시 강서구 화곡로 111, 스카이빌딩 3층 (화곡동)",37.5427207,126.8427882,병원,한의원
화곡정신건강의학과의원,"서울특별시 강서구 강서로 161, 3층 (화곡동)",37.54113331,126.8405584,병원,의원
화곡탑정형외과의원,"서울특별시 강서구 강서로 174, 한양 더챔버 2층 202~8호 (화곡동)",37.54226595,126.8403529,병원,의원
화곡한의원,서울특별시 강서구 화곡로 166 (화곡동),37.5413043,126.8400801,병원,한의원
화남한의원,서울특별시 동작구 동작대로 129 (사당동),37.48832405,126.9819175,병원,한의원
화동한의원,"서울특별시 송파구 문정로13길 12, 우우빌딩 1층 (가락동)",37.49433124,127.1355842,병원,한의원
화랑윤구강악안면외과치과의원,"서울특별시 노원구 노원로1길 67, 대덕프라자 301호 (공릉동)",37.62082546,127.0836357,병원,치과의원
화리한의원,"서울특별시 서초구 서초대로 3-4, 105호 (방배동, 디오슈페리움1차)",37.48603207,126.9830849,병원,한의원
화목한치과의원,서울특별시 강동구 성내로 11 (성내동),37.5305064,127.1221678,병원,치과의원
화목한한의원,"서울특별시 광진구 뚝섬로 480, 2층 (자양동)",37.53642557,127.0635465,병원,한의원
화성치과의원,"서울특별시 강서구 까치산로4길 3, 3층 (화곡동)",37.54249364,126.8441388,병원,치과의원
화성한의원,"서울특별시 성동구 상원길 50, 2층 (성수동1가)",37.54847368,127.0484518,병원,한의원
화수목한의원,"서울특별시 서대문구 통일로 464, 홍제빌딩 5층 (홍제동)",37.58996262,126.9432196,병원,한의원
화수분한의원,서울특별시 강동구 풍성로 216 (성내동),37.52891532,127.1356196,병원,한의원
화안피부과의원,"서울특별시 영등포구 여의대방로65길 12, 305호 (여의도동, 에리트빌딩)",37.51962871,126.9300319,병원,의원
(의)미래의료재단미래치과의원,"서울특별시 강남구 테헤란로 513 (삼성동, 지하1층일부)",37.50800316,127.0588872,병원,치과의원
화양본내과의원,서울특별시 광진구 군자로 73 (군자동),37.54968725,127.0705946,병원,의원
화양치과의원,"서울특별시 광진구 광나루로 507, 2층 (구의동)",37.5452302,127.0859425,병원,치과의원
화음치과의원,"서울특별시 서초구 강남대로 525, 6층 (반포동, 세영제이타워)",37.50894816,127.0219133,병원,치과의원
화이트e치과의원,서울특별시 중랑구 용마산로 439 (망우동),37.59073632,127.0972165,병원,치과의원
화이트드림치과의원,"서울특별시 서초구 서초대로77길 17, BLOCK77 5층 (서초동)",37.4995536,127.0257524,병원,치과의원
휴고성형외과의원,"서울특별시 강남구 학동로4길 7, 지하1층~지상1층 (논현동)",37.51103462,127.0218871,병원,의원
화이트성형외과의원,"서울특별시 강남구 도산대로 318, SB타워 804호 (논현동)",37.52184176,127.0368952,병원,의원
화이트스타일치과의원,"서울특별시 강남구 강남대로92길 17, 1,2층 (역삼동)",37.4991433,127.0287758,병원,치과의원
화이트연세치과의원,"서울특별시 동작구 상도로 174, 6층 (상도동)",37.50425279,126.9384185,병원,치과의원
화이트의원,"서울특별시 광진구 천호대로 659, 2층 (구의동)",37.55230395,127.0899281,병원,의원
화이트이(e)치과의원,"서울특별시 서초구 강남대로 337, 337 7층 (서초동)",37.49309746,127.0294983,병원,치과의원
화이트이치과의원,"서울특별시 영등포구 영중로2길 1, 9,10층 (영등포동3가)",37.51688471,126.9068113,병원,치과의원
화이트치과의원,서울특별시 영등포구 도림로 150 (대림동),37.49374053,126.8986415,병원,치과의원
화이트치과의원,서울특별시 강동구 상암로 195 (명일동),37.54662495,127.1441904,병원,치과의원
화이트치과의원,서울특별시 구로구 고척로 123 (개봉동),37.5021665,126.8476535,병원,치과의원
화이트치과의원,서울특별시 은평구 응암로 240 (응암동),37.59323506,126.9181308,병원,치과의원
화이트플란트치과의원,"서울특별시 서초구 서초중앙로24길 35, 3층 (서초동, 로고스빌딩)",37.4954621,127.0175045,병원,치과의원
화이트플러스치과의원,"서울특별시 영등포구 여의대방로 55, 신길프라자 (신길동)",37.49675337,126.9128152,병원,치과의원
화이트플러스치과의원,"서울특별시 중구 다산로36길 30, 2층 (신당동)",37.56211068,127.0166304,병원,치과의원
화이트플러스치과의원,"서울특별시 영등포구 여의대방로 55, 신길프라자 (신길동)",37.49675337,126.9128152,병원,치과의원
화이트피부과의원,"서울특별시 강동구 올림픽로 665, 대일빌딩 402호 (천호동)",37.54092469,127.1238738,병원,의원
화이팅마취통증의학과의원,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운)",37.57084449,126.9799237,병원,의원
화이팅마취통증의학과의원,"서울특별시 동대문구 왕산로 176, 6,7층 (전농동)",37.57917095,127.0429856,병원,의원
화이팅정형외과의원,"서울특별시 강남구 테헤란로 146, 현익빌딩 5,6층 (역삼동)",37.50001924,127.0354872,병원,의원
화이팅한의원,"서울특별시 양천구 목동동로 67, 2층 (신정동)",37.51570933,126.8625003,병원,한의원
화인김동현치과의원,"서울특별시 송파구 동남로 141, 3층 (가락동)",37.49190265,127.1262525,병원,치과의원
화인마취통증의학과의원,"서울특별시 성동구 성수일로6길 53, 유원지식산업센터 202호 (성수동2가)",37.54421467,127.0557894,병원,의원
화인마취통증의학과의원,"서울특별시 동대문구 왕산로 190, 301~305호 (전농동)",37.57951522,127.0444472,병원,의원
화인마취통증의학과의원,"서울특별시 영등포구 가마산로 496, 301,302,305호 (신길동)",37.50544122,126.911479,병원,의원
화인마취통증의학과의원,"서울특별시 서초구 동작대로 132, 7층 (방배동)",37.48825796,126.9827699,병원,의원
화인마취통증의학과의원,서울특별시 노원구 노해로 482 (상계동),37.65427253,127.0617168,병원,의원
화인마취통증의학과의원,"서울특별시 강남구 테헤란로 405, BGF사옥 3층 (삼성동)",37.50512861,127.049842,병원,의원
화인마취통증의학과의원,"서울특별시 광진구 천호대로 556, 4층 (능동)",37.55673393,127.0797023,병원,의원
화인마취통증의학과의원,"서울특별시 강북구 도봉로 40, 7층 (미아동, 대경빌딩)",37.61259208,127.0304337,병원,의원
화인마취통증의학과의원,"서울특별시 관악구 남부순환로 1733, 5층 (봉천동, 정민빌딩)",37.48255359,126.9427597,병원,의원
화인마취통증의학과의원,"서울특별시 종로구 새문안로 82, 에스타워 지하동 1층 (신문로1가)",37.56979465,126.9739315,병원,의원
화인마취통증의학과의원,"서울특별시 은평구 통일로 855-8, 6층 601,602호 (갈현동, 연신내진원와이타운)",37.61912218,126.9202018,병원,의원
화인신경외과의원,"서울특별시 송파구 양산로 38, 2,3층 (거여동)",37.49213941,127.1442945,병원,의원
화인의원,"서울특별시 마포구 마포대로 52, 3층 (도화동, 고려아카데미텔)",37.54038107,126.947689,병원,의원
화인정신건강의학과의원,"서울특별시 광진구 광나루로56길 63, 프라임프라자 305호 (구의동)",37.53678879,127.0961606,병원,의원
화인정신건강의학과의원,"서울특별시 강서구 공항대로 525, 303호 (등촌동)",37.55140724,126.8650113,병원,의원
화인치과의원,"서울특별시 구로구 신도림로 7, 204, 210호 (신도림동,금강리빙스텔)",37.50616331,126.8771648,병원,치과의원
화인치과의원,서울특별시 강동구 천중로 237 (길동),37.54083246,127.1467226,병원,치과의원
화인치과의원,"서울특별시 강서구 등촌로 163, 304호 (등촌동, 등촌동아이파크 주상가동)",37.54472977,126.8615933,병원,치과의원
화인치과의원,"서울특별시 서초구 방배로 195, 204호 (방배동)",37.49069514,126.9914864,병원,치과의원
화인통증의학과의원,"서울특별시 중구 퇴계로 447, 2층 217호 (황학동, 황학 아크로타워)",37.56604198,127.0217218,병원,의원
강서자연치과의원,"서울특별시 강서구 양천로 690, 호서빌딩 6층 (염창동)",37.55021954,126.8726238,병원,치과의원
화인한의원,"서울특별시 영등포구 국제금융로 86, 208호 (여의도동, 롯데캐슬아이비)",37.52023735,126.9317524,병원,한의원
화접몽한의원,"서울특별시 강남구 강남대로84길 8, 우인빌딩 9층 (역삼동)",37.49648132,127.029325,병원,한의원
화접몽한의원,"서울특별시 강서구 화곡로 429, 3층 301호 (가양동)",37.56152762,126.8550675,병원,한의원
화접몽한의원,"서울특별시 마포구 백범로 21, 7층 (노고산동, 에버빌딩)",37.55285678,126.9375441,병원,한의원
화접몽한의원,"서울특별시 노원구 노해로 492, 프린스빌딩 7층 704,705호 (상계동)",37.65445483,127.0626778,병원,한의원
화진한의원,"서울특별시 노원구 한글비석로 384, 대호프라자 301호 (중계동)",37.6598521,127.0732531,병원,한의원
화창한의원,"서울특별시 종로구 종로 199, 지하1층 (종로4가, 한일빌딩)",37.57140769,126.999734,병원,한의원
화평치과의원,"서울특별시 강북구 오현로 32 (미아동, 청우빌딩)",37.61632011,127.0337155,병원,치과의원
화한의원,"서울특별시 마포구 연남로 43, 2층 (연남동, 로얄빌딩)",37.56324791,126.9209062,병원,한의원
화한의원,"서울특별시 노원구 한글비석로 362, 2층 (중계동, 중석빌딩)",37.65818608,127.0748561,병원,한의원
환스이비인후과의원,"서울특별시 강서구 강서로 189, 3층 (화곡동)",37.54311034,126.8386095,병원,의원
(의)성광의료재단차여성의원,"서울특별시 중구 한강대로 416, 서울스퀘어 2층 (남대문로5가)",37.55550363,126.9737513,병원,의원
(의)성광의료재단차움건진의원,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",37.5077805,127.0582057,병원,의원
(의)성광의료재단차움의원,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",37.52331116,127.044119,병원,의원
(의)열린의료재단강남열린의원,"서울특별시 강남구 언주로 123, 3층 (도곡동, 개포한신아파트)",37.48760335,127.0497551,병원,의원
(의)열린의료재단강동열린의원,"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",37.53524776,127.1326638,병원,의원
환희치과의원,"서울특별시 강남구 도곡로 409, (대치동)",37.49736921,127.055167,병원,치과의원
활기찬정형외과의원,"서울특별시 은평구 통일로 875 (갈현동, B1층일부,2~5층,6층일부)",37.62113992,126.9196349,병원,의원
힘찬큐한방병원,"서울특별시 강남구 봉은사로 213, 센트럴타워 5~7층 (논현동)",37.50805002,127.0353661,병원,한방병원
활선재활의학과의원,"서울특별시 서초구 강남대로 365, 대우도씨에빛 4층 (서초동)",37.49532341,127.0283489,병원,의원
가야성모의원,"서울특별시 서초구 방배로 175, 4층 (방배동, 동성빌딩)",37.48916502,126.9923066,병원,의원
강창순내과의원,"서울특별시 강남구 남부순환로 2941, 201호 (대치동)",37.49426333,127.0619343,병원,의원
